yr,week_number,device,avg_engagement_per_week
2014,17,"acer aspire desktop",69.0000
2014,17,"acer aspire notebook",207.0000
2014,17,"amazon fire phone",84.0000
2014,17,"asus chromebook",254.0000
2014,17,"dell inspiron desktop",188.0000
2014,17,"dell inspiron notebook",506.0000
2014,17,"hp pavilion desktop",134.0000
2014,17,"htc one",192.0000
2014,17,"ipad air",331.0000
2014,17,"ipad mini",208.0000
2014,17,"iphone 4s",219.0000
2014,17,"iphone 5",715.0000
2014,17,"iphone 5s",476.0000
2014,17,"kindle fire",57.0000
2014,17,"lenovo thinkpad",801.0000
2014,17,"mac mini",60.0000
2014,17,"macbook air",493.0000
2014,17,"macbook pro",1527.0000
2014,17,"nexus 10",145.0000
2014,17,"nexus 5",385.0000
2014,17,"nexus 7",181.0000
2014,17,"nokia lumia 635",130.0000
2014,17,"samsumg galaxy tablet",71.0000
2014,17,"samsung galaxy note",117.0000
2014,17,"samsung galaxy s4",454.0000
2014,17,"windows surface",87.0000
2014,18,"acer aspire desktop",299.0000
2014,18,"acer aspire notebook",366.0000
2014,18,"amazon fire phone",179.0000
2014,18,"asus chromebook",526.0000
2014,18,"dell inspiron desktop",686.0000
2014,18,"dell inspiron notebook",963.0000
2014,18,"hp pavilion desktop",379.0000
2014,18,"htc one",176.0000
2014,18,"ipad air",528.0000
2014,18,"ipad mini",313.0000
2014,18,"iphone 4s",451.0000
2014,18,"iphone 5",1333.0000
2014,18,"iphone 5s",786.0000
2014,18,"kindle fire",269.0000
2014,18,"lenovo thinkpad",1752.0000
2014,18,"mac mini",160.0000
2014,18,"macbook air",1617.0000
2014,18,"macbook pro",3334.0000
2014,18,"nexus 10",372.0000
2014,18,"nexus 5",945.0000
2014,18,"nexus 7",255.0000
2014,18,"nokia lumia 635",345.0000
2014,18,"samsumg galaxy tablet",79.0000
2014,18,"samsung galaxy note",143.0000
2014,18,"samsung galaxy s4",1140.0000
2014,18,"windows surface",108.0000
2014,19,"acer aspire desktop",242.0000
2014,19,"acer aspire notebook",412.0000
2014,19,"amazon fire phone",145.0000
2014,19,"asus chromebook",270.0000
2014,19,"dell inspiron desktop",445.0000
2014,19,"dell inspiron notebook",1199.0000
2014,19,"hp pavilion desktop",381.0000
2014,19,"htc one",275.0000
2014,19,"ipad air",604.0000
2014,19,"ipad mini",381.0000
2014,19,"iphone 4s",552.0000
2014,19,"iphone 5",1208.0000
2014,19,"iphone 5s",972.0000
2014,19,"kindle fire",229.0000
2014,19,"lenovo thinkpad",2163.0000
2014,19,"mac mini",256.0000
2014,19,"macbook air",1351.0000
2014,19,"macbook pro",3189.0000
2014,19,"nexus 10",235.0000
2014,19,"nexus 5",958.0000
2014,19,"nexus 7",338.0000
2014,19,"nokia lumia 635",217.0000
2014,19,"samsumg galaxy tablet",66.0000
2014,19,"samsung galaxy note",120.0000
2014,19,"samsung galaxy s4",1036.0000
2014,19,"windows surface",165.0000
2014,20,"acer aspire desktop",228.0000
2014,20,"acer aspire notebook",486.0000
